url,product_id,brandname,category,individual_category,category_by_gender,description,discountprice_(in_rs),originalprice_(in_rs),discountoffer,sizeoption,ratings,reviews,discount_amount,discount_percent
https://www.myntra.com/sweatshirts/herenow/herenow-women-red--green-pure-cotton-solid-hooded-reversible-sweatshirt/12196820/buy,12196820,HERE&NOW,Plus Size,sweatshirts,Women,herenow women red  green pure cotton solid hooded reversible sweatshirt,899.0,2999,"70% OFF, Hurry*","XS, S, M, L, XL, XXL, 3XL",4.2,239.0,2100.0,70.02334111370457
https://www.myntra.com/tshirts/herenow/herenow-women-pink--black-typography-printed-pure-cotton-t-shirt/14015170/buy,14015170,HERE&NOW,Plus Size,tshirts,Women,herenow women pink  black typography printed pure cotton t shirt,314.0,899,65% OFF,"XS, S, M, L, XL, XXL, 3XL",4.6,239.0,585.0,65.07230255839822
https://www.myntra.com/dresses/pluss/pluss-women-black-embellished-maxi-dress/2468592/buy,2468592,plusS,Plus Size,dresses,Women,pluss women black embellished maxi dress,,3099,,"S, M, L, XL, XXL, 3XL, 4XL",4.1,239.0,,
https://www.myntra.com/tops/sassafras/sassafras-blue--brown-tie-and-dye-printed-layered-regular-top/13843044/buy,13843044,SASSAFRAS,Western,tops,Women,sassafras blue  brown tie and dye printed layered regular top,,1199,55% OFF,"XS, S, M, L, XL, XXL",4.3,239.0,,
https://www.myntra.com/tops/roadster/roadster-burgundy-striped-gathered-fitted-top/14935572/buy,14935572,Roadster,Western,tops,Women,roadster burgundy striped gathered fitted top,,1299,40% OFF,"XS, S, M, L, XL, XXL",4.5,239.0,,
https://www.myntra.com/skirts/mast--harbour/mast--harbour-blue-denim-skirt/2383154/buy,2383154,Mast & Harbour,Western,skirts,Women,mast  harbour blue denim skirt,,1299,35% OFF,"26, 28, 30, 32, 34, 36",4.3,239.0,,
https://www.myntra.com/shrug/purys/purys-pink-printed-open-front-shrug/8162255/buy,8162255,PURYS,Western,shrug,Women,purys pink printed open front shrug,,1499,55% OFF,"XS, S, M, L, XL, XXL",3.7,239.0,,
https://www.myntra.com/tops/bhama-couture/bhama-couture-women-off-white-embroidered-longline-top/11625556/buy,11625556,Bhama Couture,Western,tops,Women,bhama couture women off white embroidered longline top,,1799,51% OFF,"S, M, L, XL",3.9,239.0,,
https://www.myntra.com/sweatshirts/all-about-you/all-about-you-women-rust-brown-self-design-embellished-sweatshirt/12259084/buy,12259084,all about you,Western,sweatshirts,Women,all about you women rust brown self design embellished sweatshirt,,2199,50% OFF,"S, M, L, XL, XXL",4.3,239.0,,
https://www.myntra.com/dungarees/roadster/roadster-women-blue-skinny-fit-washed-light-fade-denim-dungarees/11119908/buy,11119908,Roadster,Western,dungarees,Women,roadster women blue skinny fit washed light fade denim dungarees,,2999,50% OFF,"26, 28, 30, 32, 34, 36",4.3,239.0,,
https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-women-black--grey-melange-colourblocked-round-neck-pure-cotton-t-shirt/10301107/buy,10301107,Roadster,Western,tshirts,Women,the roadster lifestyle co women black  grey melange colourblocked round neck pure cotton t shirt,,799,55% OFF,"XS, S, M, L, XL",4.4,239.0,,
https://www.myntra.com/tshirts/mast--harbour/mast--harbour-women-lavender-printed-high-neck-crop-t-shirt/12204854/buy,12204854,Mast & Harbour,Western,tshirts,Women,mast  harbour women lavender printed high neck crop t shirt,,799,35% OFF,"XS, S, M, L, XL",4.5,239.0,,
https://www.myntra.com/tops/all-about-you/all-about-you-women-green-embroidered-pure-cotton-top/13204946/buy,13204946,all about you,Western,tops,Women,all about you women green embroidered pure cotton top,,999,Rs. 500 OFF,"XS, S, M, L, XL, XXL",3.7,239.0,,
https://www.myntra.com/leggings/rangmanch-by-pantaloons/rangmanch-by-pantaloons-women-blue-solid-ankle-length-leggings/9374443/buy,9374443,RANGMANCH BY PANTALOONS,Western,leggings,Women,rangmanch by pantaloons women blue solid ankle length leggings,,399,,"S, M, L, XL",4.2,239.0,,
https://www.myntra.com/tshirts/hm/hm-women-black-oversized-pure-cotton-t-shirt/13503996/buy,13503996,H&M,Western,tshirts,Women,hm women black oversized pure cotton t shirt,,799,,"XS, S, M, L, XL",4.5,239.0,,
https://www.myntra.com/shorts/roadster/roadster-men-navy-blue-washed-regular-fit-denim-shorts/11928110/buy,11928110,Roadster,Bottom Wear,shorts,Men,roadster men navy blue washed regular fit denim shorts,,1399,,"28, 30, 32, 34, 36",4.4,238.0,,
https://www.myntra.com/shorts/roadster/roadster-men-white-solid-regular-fit-shorts/13817974/buy,13817974,Roadster,Bottom Wear,shorts,Men,roadster men white solid regular fit shorts,,1399,,"28, 30, 32, 34, 36",4.3,238.0,,
https://www.myntra.com/jeans/roadster/roadster-men-blue-slim-tapered-fit-mid-rise-clean-look-stretchable-jeans/11631158/buy,11631158,Roadster,Bottom Wear,jeans,Men,roadster men blue slim tapered fit mid rise clean look stretchable jeans,649.0,2599,75% OFF,"28, 30, 32, 34, 36",4.0,238.0,1950.0,75.02885725278954
https://www.myntra.com/jeans/wrogn/wrogn-men-grey-slim-fit-mid-rise-clean-look-jeans/12220066/buy,12220066,WROGN,Bottom Wear,jeans,Men,wrogn men grey slim fit mid rise clean look jeans,959.0,2399,60% OFF,"28, 30, 32, 34, 36, 38",4.1,238.0,1440.0,60.02501042100875
https://www.myntra.com/trousers/roadster/roadster-men-navy-blue-regular-fit-solid-joggers/11350618/buy,11350618,Roadster,Bottom Wear,trousers,Men,roadster men navy blue regular fit solid joggers,959.0,2399,60% OFF,"28, 30, 32, 34, 36",4.2,238.0,1440.0,60.02501042100875
